treeID,height,ch_area,live,species,x,y,b_mean,g_mean,r_mean,re_mean,nir_mean,ndvi_mean,rgi_mean,cire_mean,cig_mean,ndre_mean,crs
eldo_3k_2_19653,19.856,8.582796252987464,0,NA,715563.625,4268718.5,0.04469375795509556,0.06689375813054567,0.11580333879752325,0.15658115245918236,0.2231040337298176,0.32261215688042205,1.7202847700927852,0.4362161883816231,2.36890462940516,0.1545248676704461,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_12891,25.321,12.276890572222328,0,NA,715567.813,4268704,0.04579089958365537,0.06772490630635428,0.11127328814629056,0.14572832802055907,0.20408867650612908,0.2971939075872738,1.640213695189105,0.40787334679413706,2.03508631578336,0.1356765006888695,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_9288,28.37,20.17967941223469,0,NA,715879.438,4268648.5,0.03256164338033818,0.04465652144075379,0.04826681064582201,0.086047050974967,0.1620352661646409,0.5359002710490506,1.0670975368983158,0.9075923556215045,2.7759677985831366,0.288043948312272,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_14315,24.218,11.596883160003927,0,NA,715841.5,4268641,0.040407416345450704,0.0626904930921783,0.060659353390402515,0.1284836049151884,0.24198308705789714,0.5850452931579887,0.9615990591320812,0.8747121234985601,2.9075853420232014,0.3576192466280907,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_8392,29.164,7.869094779274747,0,NA,715849.125,4268634,0.039005808377792904,0.05717171351802158,0.05621045951793839,0.11628753497645809,0.2256634132220195,0.5884827549323627,0.9774163961416943,0.930874038802685,3.0002561537390884,0.3470615199862359,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_26860,11.609,20.574818853634497,1,pipo,715798.25,4268602,0.02470415624314642,0.05979857513571654,0.03250130414920145,0.14754850453889662,0.32311623399717765,0.8178937302981489,0.5474273396861696,1.2255263836240602,4.534098213684191,0.638595326228333,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_22153,17.489,0.842351523540856,0,pipo,715796.25,4268595.5,0.027084567964724873,0.04280771153128665,0.036446344010207965,0.09083896765242452,0.1850343170373336,0.6724444151209507,0.8339927958437828,1.0707339607042474,3.524736048132794,0.4362674244726328,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_9449,28.22,17.57604743023694,0,pipo,715805.063,4268594.5,0.036818646099169815,0.05847318350000962,0.0516763538747202,0.12158209358202604,0.24378501224350202,0.6328801508095925,0.8835232007662648,1.0003806691753308,3.2277518220106907,0.39977261051809965,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_16611,22.399,16.185401641880162,1,pipo,715797.313,4268588.5,0.021862929581314514,0.05086051607919726,0.028618382212494336,0.12017726356246669,0.2720981228313628,0.8108396154520973,0.5660466151667659,1.3183644052656784,4.5714243262972865,0.6165727815479295,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_17876,21.375,13.780870928199874,0,NA,715802.563,4268527,0.038055252883414596,0.05140375605393361,0.05185873230071134,0.09279942592991244,0.17558022411574348,0.551362981892161,0.9906170027818051,0.9254177426792402,2.5814612246420543,0.2969605004411584,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_17017,22.069,16.914418597792974,0,NA,715795.875,4268527,0.03652466073429662,0.05461978873540939,0.05556123141877002,0.10800283922095845,0.20454741976402263,0.5683888067264704,1.0064590105401774,0.9102471542767746,2.851774603706347,0.32586525072884104,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_12307,25.785,44.32300563433091,0,NA,715813,4268523.5,0.030390039727806985,0.05615957737621519,0.046258700650560765,0.12286056533459536,0.24197492547211583,0.66781373232649,0.8348246004119366,1.0100303704713172,3.4481654959439947,0.4484931228356628,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_13521,24.851,28.50211246724939,1,pipo,715834.688,4268518,0.024285358208173975,0.051428479277616554,0.038432552995342976,0.12122679426664533,0.24660500922703585,0.7324211504938168,0.7504650401769533,1.1222468202795979,4.0952823436935395,0.5251758178067693,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_7435,30.065,24.955046777962707,0,NA,715837.938,4268509.5,0.04528274139675352,0.05866672287198465,0.07223082825551169,0.10336304577511846,0.1628800907940959,0.39010508673101546,1.2255484967630936,0.5937010469994949,1.8373130458251616,0.1811693115087146,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_14155,24.346,8.634868892550003,0,NA,715810.875,4268505,0.04321167842479226,0.06015545348764894,0.068031197362567,0.11528272859705901,0.19414721710314872,0.4669375711086325,1.134295771383895,0.6809920300827513,2.2661114011765906,0.25346465383331673,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_25691,13.386,17.916051134754525,0,NA,715855.375,4268505.5,0.031707935671514,0.047818281499398804,0.051012479573068786,0.09306454362226864,0.16010068521571866,0.514874829047669,1.075075680319925,0.7380008836350883,2.3959311729978143,0.28811525156159074,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_22752,16.824,3.412289445499482,0,NA,715850.75,4268501.5,0.03631646708752365,0.04673086615686627,0.05718328542458191,0.08352193700410517,0.1403140793451513,0.4226728716599843,1.2221090781052064,0.690168743587276,2.0400670375175856,0.18888381696188797,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_23197,16.351,8.175404425739544,0,NA,715846.125,4268495,0.040737960208420486,0.05419991436058515,0.07108569361090455,0.09465552844720929,0.14609991870735275,0.34826383861771304,1.3097897519445754,0.5558488799616993,1.7216963194821002,0.1427468939280709,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_21011,18.604,7.293232647527475,0,NA,715805.188,4268489.5,0.047116495787026265,0.0637196516716581,0.07002195622968875,0.11817395892663687,0.19798650550035796,0.46644340583723953,1.1003100451727406,0.669187201834812,2.1305959778084174,0.2532755902116351,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_12258,25.828,38.37447232694831,0,NA,715867.063,4268490,0.02286182624698751,0.03627753686077884,0.036381013590608885,0.07801598171212755,0.15368800518175688,0.615095565085546,0.9932765400561584,0.990258097066358,3.3637281111974784,0.37005655668931037,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_9993,27.747,89.84368197107688,0,NA,715841,4268477,0.02458670608359823,0.035549348202389836,0.037228713890379087,0.07057574013116406,0.13783725646014014,0.5673701113607276,1.0411912948039495,0.9753190392929556,3.0185337296043335,0.31352837739702416,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_5849,31.705,52.33606594486628,0,NA,715860.188,4268477,0.028955489500874336,0.042610084847573,0.04727267041833169,0.08921810385678067,0.16629872881781207,0.5610381540506177,1.0875097902986859,0.9324260379005962,3.196591534829404,0.321280273984343,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_13724,24.687,28.973829320340883,0,NA,715849,4268467.5,0.02101982219736494,0.03227844293097015,0.03410453184522787,0.06984553739515789,0.13836296999698852,0.5980717880387139,1.0611731767974653,0.9935611921303498,3.36846236525273,0.3429297685981716,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_14019,24.437,12.54337996430695,0,NA,715448.75,4268462.5,0.039582806627286055,0.05837255164178295,0.06064365235369442,0.11877787854379837,0.22089377429038964,0.5515313404306522,1.0442296578811543,0.8525816710894872,2.7972376154015675,0.3143047455265368,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_22675,16.899,26.81128322559016,0,NA,715738.75,4268457,0.028262858067918336,0.039598297728645246,0.04085395378658844,0.08320907761728333,0.1572431383632059,0.5795749873594382,1.0305964339749787,0.8956326267917337,3.0743722668391014,0.34103518929483007,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_6337,31.136,20.841308246686822,0,NA,715862.875,4268455,0.025659001903325027,0.04026016591804858,0.05239479356779557,0.08766061032722887,0.15423732199399232,0.5163385406104049,1.2429372586501273,0.881340546143418,3.312742410338302,0.295089463407318,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
eldo_3k_2_16170,22.761,25.163337335572578,0,NA,715837.875,4268447,0.026615159137469726,0.04177550419335418,0.05699062326603451,0.09253109955337975,0.1589049077445846,0.479409143826957,1.3461723648936215,0.7434661663543158,2.8928884886893638,0.24963498235383874,+proj=utm +zone=10 +datum=WGS84 +units=m +no_defs
